"state","week","deathsum","committee","individual"
"250","MS",2020-03-10,NA,172800,77811
"251","MS",2020-03-17,0,41961,38987
"252","MS",2020-03-24,1,13500,12662
"253","MS",2020-03-31,19,28000,63814
"254","MS",2020-04-07,39,NA,NA
"255","MS",2020-04-14,52,NA,NA
"256","MS",2020-04-21,72,NA,NA
"257","MS",2020-04-28,56,NA,NA
"258","MS",2020-05-05,42,NA,NA
"259","MT",2020-03-10,NA,80500,25631
"260","MT",2020-03-17,0,82000,23862
"261","MT",2020-03-24,0,69500,14310
"262","MT",2020-03-31,4,114700,49003
"263","MT",2020-04-07,2,NA,NA
"264","MT",2020-04-14,1,NA,NA
"265","MT",2020-04-21,5,NA,NA
"266","MT",2020-04-28,3,NA,NA
"267","MT",2020-05-05,1,NA,NA
"268","NC",2020-03-10,NA,126282,369820
"269","NC",2020-03-17,0,143261,249374
"270","NC",2020-03-24,0,76493,174547
"271","NC",2020-03-31,8,126160,282574
"272","NC",2020-04-07,38,NA,NA
"273","NC",2020-04-14,62,NA,NA
"274","NC",2020-04-21,105,NA,NA
"275","NC",2020-04-28,129,NA,NA
"276","NC",2020-05-05,57,NA,NA
"277","ND",2020-03-10,NA,12000,39497
"278","ND",2020-03-17,0,16500,24957
"279","ND",2020-03-24,0,14000,9747
"280","ND",2020-03-31,3,7500,12519
"281","ND",2020-04-07,1,NA,NA
"282","ND",2020-04-14,5,NA,NA
"283","ND",2020-04-21,4,NA,NA
"284","ND",2020-04-28,6,NA,NA
"285","ND",2020-05-05,4,NA,NA
"286","NE",2020-03-10,NA,57250,34847
"287","NE",2020-03-17,0,61090,20276
"288","NE",2020-03-24,0,48300,40992
"289","NE",2020-03-31,3,51860,83340
"290","NE",2020-04-07,7,NA,NA
"291","NE",2020-04-14,8,NA,NA
"292","NE",2020-04-21,15,NA,NA
"293","NE",2020-04-28,22,NA,NA
"294","NE",2020-05-05,15,NA,NA
"295","NH",2020-03-10,NA,17500,82958
"296","NH",2020-03-17,0,27500,33205
"297","NH",2020-03-24,1,21500,34028
"298","NH",2020-03-31,2,36500,38333
"299","NH",2020-04-07,6,NA,NA
"300","NH",2020-04-14,14,NA,NA
"301","NH",2020-04-21,19,NA,NA
"302","NH",2020-04-28,18,NA,NA
"303","NH",2020-05-05,12,NA,NA
"304","NJ",2020-03-10,NA,183368,566160
"305","NJ",2020-03-17,3,285910,358500
"306","NJ",2020-03-24,41,123800,294696
"307","NJ",2020-03-31,223,163224,388023
"308","NJ",2020-04-07,965,NA,1000
"309","NJ",2020-04-14,1573,NA,NA
"310","NJ",2020-04-21,1948,NA,NA
"311","NJ",2020-04-28,1689,NA,NA
"312","NJ",2020-05-05,1096,NA,NA
"313","NM",2020-03-10,NA,35000,609896
"314","NM",2020-03-17,0,35000,62433
"315","NM",2020-03-24,0,58000,67089
"316","NM",2020-03-31,4,34501,69131
"317","NM",2020-04-07,8,NA,NA
"318","NM",2020-04-14,19,NA,NA
"319","NM",2020-04-21,27,NA,NA
"320","NM",2020-04-28,46,NA,NA
"321","NM",2020-05-05,19,NA,NA
"322","NV",2020-03-10,NA,81224,96888
"323","NV",2020-03-17,1,51000,108213
"324","NV",2020-03-24,3,19500,46153
"325","NV",2020-03-31,13,39550,109459
"326","NV",2020-04-07,41,NA,NA
"327","NV",2020-04-14,62,NA,NA
"328","NV",2020-04-21,43,NA,NA
"329","NV",2020-04-28,56,NA,NA
"330","NV",2020-05-05,24,NA,NA
"331","NY",2020-03-10,NA,523510,2261808
"332","NY",2020-03-17,7,402272,1393184
"333","NY",2020-03-24,203,337922,738478
"334","NY",2020-03-31,1340,386271,1641937
"335","NY",2020-04-07,3939,NA,17550
"336","NY",2020-04-14,5345,NA,NA
"337","NY",2020-04-21,3994,NA,NA
"338","NY",2020-04-28,2810,NA,NA
"339","NY",2020-05-05,972,NA,NA
"340","OH",2020-03-10,NA,1140811,1364695
"341","OH",2020-03-17,0,514543,223816
"342","OH",2020-03-24,8,106800,113389
"343","OH",2020-03-31,47,77051,308347
"344","OH",2020-04-07,112,NA,1350
"345","OH",2020-04-14,157,NA,25
"346","OH",2020-04-21,233,NA,NA
"347","OH",2020-04-28,242,NA,NA
"348","OH",2020-05-05,203,NA,NA
"349","OK",2020-03-10,NA,123748,112321
"350","OK",2020-03-17,0,93000,151179
"351","OK",2020-03-24,3,48000,38568
"352","OK",2020-03-31,20,42500,89775
"353","OK",2020-04-07,44,NA,NA
"354","OK",2020-04-14,41,NA,NA
"355","OK",2020-04-21,56,NA,NA
"356","OK",2020-04-28,43,NA,NA
"357","OK",2020-05-05,23,NA,NA
